Model and Mult,Multiplier,Brand,process_size,transistors,frequency,tdp,memory_bandwidth,#_of_cores,year,time,launch_price,market,Generalized Performance
Intel Xeon Platinum 8362 x 2,2,Intel,10,,2.8,265,204.8,32,2021,14,,Server/Workstation,5.54572923602627
Intel Xeon Platinum 8380 x 1,1,Intel,10,,2.3,270,204.8,40,2021,14,,Server/Workstation,4.57661728416774
Intel Xeon Platinum 8380 x 2,2,Intel,10,,2.3,270,204.8,40,2021,14,,Server/Workstation,5.77331327806498
Intel Xeon Platinum 8462Y+ x 1,1,Intel,10,,2.8,300,307.2,32,2023,16,5945,Server/Workstation,6.61776863236896
Intel Xeon Platinum 8462Y+ x 2,2,Intel,10,,2.8,300,307.2,32,2023,16,5945,Server/Workstation,9.05603256356322
Intel Xeon Platinum 8468 x 1,1,Intel,10,,2.1,350,307.2,48,2023,16,7214,Server/Workstation,6.74384324767554
Intel Xeon Platinum 8468 x 2,2,Intel,10,,2.1,350,307.2,48,2023,16,7214,Server/Workstation,9.19456799573581
Intel Xeon Platinum 8471N x 1,1,Intel,10,,,300,307.2,52,2023,16,5171,Server/Workstation,6.8048368643679
Intel Xeon Platinum 8480+ x 1,1,Intel,10,,,350,307.2,56,2023,16,10710,Server/Workstation,6.67460190805905
Intel Xeon Platinum 8490H x 1,1,Intel,10,,,350,307.2,60,2023,16,17000,Server/Workstation,6.64098758808541
Intel Xeon Platinum 8490H x 2,2,Intel,10,,,350,307.2,60,2023,16,17000,Server/Workstation,8.3527662382569
Intel Xeon Platinum x 2,2,Intel,10,,,350,307.2,56,2023,16,,Server/Workstation,8.55696923494635
Intel Xeon Silver 4108 x 1,1,Intel,10,,2.1,120,170.7,12,2021,14,,Server/Workstation,-1.18602560125604
Intel Xeon Silver 4210 x 2,2,Intel,10,,2.1,120,170.7,12,2021,14,,Server/Workstation,0.612022977338817
Intel Xeon Silver 4214 x 2,2,Intel,10,,2.4,135,170.7,16,2021,14,,Server/Workstation,-11.9256706333
Intel Xeon Silver 4214R x 1,1,Intel,10,,2.4,135,170.7,16,2021,14,,Server/Workstation,-1.83568823612058
Intel Xeon Silver 4215R x 1,1,Intel,14,8000,2.1,85,,12,2017,10,,Server/Workstation,-2.36111722699112
Intel Xeon Silver 4216 x 1,1,Intel,14,8000,2.1,85,,12,2017,10,,Server/Workstation,1.12774248993113
Intel Xeon W-1370P x 1,1,Intel,14,,3.6,125,51.2,8,2021,14,428,Server/Workstation,5.41496818356366
Intel Xeon W-2123 x 1,1,Intel,14,,3.6,120,85.3,4,2017,10,294,Server/Workstation,-7.55077575684936
Intel Xeon W-2295 x 1,1,Intel,14,,2.3,140,85.3,18,2017,10,2553,Server/Workstation,-0.840323547522227
Intel Xeon X5675 x 2,2,Intel,32,1170,3.066,95,,6,2011,4,,Server/Workstation,-1.35054300788551
